iter	Passed	Remaining
0	135	135622
1	137	68487
2	138	46110
3	140	34881
4	141	28149
5	143	23698
6	144	20556
7	146	18174
8	149	16407
9	150	14923
10	152	13753
11	154	12725
12	156	11846
13	157	11103
14	159	10453
15	160	9888
16	162	9382
17	163	8931
18	165	8528
19	166	8172
20	168	7851
21	170	7565
22	171	7297
23	173	7050
24	174	6820
25	176	6609
26	178	6415
27	179	6233
28	181	6072
29	182	5916
30	184	5764
31	189	5728
32	191	5603
33	193	5489
34	194	5370
35	196	5274
36	199	5180
37	200	5080
38	202	4984
39	203	4888
40	204	4794
41	206	4703
42	207	4617
43	208	4534
44	210	4469
45	212	4414
46	214	4351
47	215	4282
48	217	4216
49	218	4152
50	219	4090
51	221	4032
52	222	3974
53	223	3923
54	225	3875
55	227	3836
56	229	3799
57	231	3755
58	232	3709
59	233	3663
60	235	3618
61	236	3573
62	237	3531
63	239	3498
64	241	3467
65	243	3441
66	244	3411
67	245	3366
68	246	3332
69	248	3297
70	249	3264
71	250	3232
72	252	3200
73	253	3169
74	255	3145
75	257	3124
76	258	3100
77	260	3074
78	261	3047
79	262	3020
80	263	2994
81	265	2968
82	266	2943
83	267	2920
84	269	2897
85	271	2881
86	272	2857
87	274	2840
88	275	2819
89	276	2799
90	278	2778
91	279	2758
92	280	2737
93	282	2718
94	284	2705
95	286	2693
96	287	2680
97	289	2663
98	290	2647
99	292	2630
100	293	2613
101	294	2591
102	295	2574
103	296	2557
104	298	2544
105	300	2536
106	302	2524
107	304	2511
108	305	2496
109	306	2481
110	307	2466
111	309	2453
112	310	2439
113	312	2424
114	313	2416
115	315	2406
116	317	2396
117	319	2385
118	320	2370
119	321	2357
120	322	2343
121	323	2331
122	324	2314
123	325	2302
124	327	2292
125	329	2284
126	331	2277
127	332	2263
128	333	2255
129	335	2244
130	336	2233
131	338	2223
132	339	2212
133	340	2202
134	342	2193
135	344	2186
136	346	2180
137	347	2172
138	349	2162
139	350	2152
140	351	2144
141	353	2134
142	354	2125
143	356	2116
144	357	2110
145	359	2104
146	361	2097
147	363	2090
148	364	2081
149	365	2073
150	367	2064
151	368	2055
152	369	2047
153	371	2039
154	373	2034
155	375	2030
156	377	2025
157	378	2017
158	379	2009
159	384	2016
160	386	2012
161	388	2011
162	392	2013
163	394	2009
164	395	2003
165	397	1996
166	399	1990
167	401	1986
168	403	1985
169	406	1982
170	408	1978
171	409	1971
172	410	1964
173	412	1957
174	413	1950
175	415	1943
176	416	1937
177	418	1932
178	420	1929
179	422	1925
180	423	1915
181	424	1908
182	426	1902
183	427	1895
184	428	1888
185	430	1882
186	432	1878
187	433	1873
188	435	1870
189	437	1865
190	439	1859
191	440	1853
192	441	1847
193	443	1840
194	444	1835
195	446	1830
196	447	1825
197	449	1820
198	451	1815
199	453	1812
200	455	1810
201	457	1807
202	459	1803
203	461	1800
204	462	1794
205	464	1788
206	465	1782
207	466	1777
208	468	1772
209	469	1767
210	471	1761
211	472	1756
212	473	1750
213	475	1745
214	476	1740
215	478	1735
216	479	1730
217	480	1724
218	482	1719
219	483	1714
220	484	1709
221	486	1703
222	487	1698
223	488	1693
224	490	1688
225	491	1683
226	493	1678
227	494	1673
228	495	1668
229	497	1663
230	498	1658
231	499	1654
232	501	1649
233	502	1644
234	503	1639
235	505	1635
236	506	1631
237	507	1626
238	509	1621
239	510	1616
240	511	1611
241	513	1607
242	514	1603
243	515	1598
244	517	1594
245	518	1589
246	520	1586
247	521	1581
248	523	1577
249	524	1573
250	525	1568
251	527	1564
252	528	1560
253	529	1555
254	531	1553
255	534	1551
256	536	1550
257	537	1546
258	539	1542
259	540	1539
260	542	1535
261	543	1531
262	545	1527
263	546	1524
264	548	1520
265	550	1517
266	551	1514
267	553	1510
268	554	1506
269	555	1503
270	557	1499
271	559	1496
272	560	1493
273	562	1489
274	564	1486
275	565	1484
276	567	1481
277	569	1478
278	570	1475
279	572	1471
280	573	1468
281	575	1465
282	577	1461
283	578	1458
284	580	1455
285	581	1452
286	583	1448
287	584	1445
288	586	1442
289	588	1439
290	589	1436
291	591	1433
292	592	1430
293	594	1427
294	596	1424
295	597	1421
296	599	1418
297	600	1414
298	602	1411
299	603	1408
300	604	1404
301	606	1401
302	607	1398
303	609	1395
304	611	1392
305	612	1389
306	614	1387
307	615	1383
308	617	1380
309	618	1376
310	621	1375
311	622	1373
312	624	1371
313	627	1370
314	629	1368
315	631	1366
316	633	1364
317	635	1363
318	637	1361
319	640	1360
320	642	1358
321	644	1356
322	646	1354
323	648	1352
324	650	1350
325	652	1348
326	654	1346
327	656	1344
328	658	1342
329	659	1339
330	661	1337
331	663	1335
332	665	1333
333	667	1331
334	670	1330
335	672	1329
336	675	1328
337	679	1331
338	681	1329
339	684	1328
340	686	1326
341	687	1323
342	689	1321
343	691	1319
344	693	1317
345	695	1315
346	697	1312
347	699	1310
348	701	1308
349	703	1306
350	705	1304
351	707	1302
352	709	1299
353	710	1297
354	712	1295
355	715	1293
356	718	1293
357	721	1293
358	723	1291
359	725	1289
360	727	1287
361	728	1284
362	730	1281
363	732	1279
364	734	1277
365	735	1274
366	737	1272
367	739	1270
368	741	1267
369	742	1264
370	744	1262
371	746	1259
372	748	1257
373	749	1254
374	751	1252
375	752	1249
376	754	1246
377	756	1244
378	757	1241
379	759	1239
380	761	1236
381	762	1233
382	764	1231
383	765	1228
384	768	1227
385	771	1226
386	773	1224
387	775	1222
388	776	1220
389	778	1217
390	779	1214
391	781	1211
392	782	1209
393	784	1206
394	785	1203
395	787	1201
396	789	1198
397	790	1195
398	792	1192
399	793	1190
400	794	1187
401	796	1184
402	798	1182
403	799	1179
404	801	1176
405	802	1174
406	804	1171
407	805	1168
408	807	1166
409	808	1163
410	810	1160
411	811	1158
412	813	1156
413	814	1153
414	816	1150
415	818	1149
416	821	1148
417	823	1146
418	827	1147
419	831	1147
420	833	1146
421	835	1144
422	837	1142
423	838	1139
424	840	1137
425	841	1134
426	843	1131
427	844	1128
428	846	1126
429	847	1123
430	849	1121
431	850	1118
432	851	1115
433	853	1112
434	854	1110
435	855	1107
436	857	1104
437	858	1101
438	859	1098
439	861	1096
440	862	1093
441	864	1091
442	865	1088
443	867	1085
444	868	1083
445	869	1080
446	871	1077
447	872	1075
448	873	1072
449	875	1070
450	877	1067
451	878	1065
452	879	1062
453	881	1059
454	882	1057
455	883	1054
456	885	1051
457	886	1048
458	887	1046
459	888	1043
460	890	1040
461	891	1038
462	893	1036
463	895	1034
464	896	1032
465	899	1030
466	901	1028
467	902	1026
468	904	1023
469	905	1021
470	907	1019
471	908	1016
472	910	1013
473	912	1012
474	915	1011
475	916	1009
476	918	1006
477	919	1003
478	920	1001
479	922	999
480	923	996
481	925	994
482	926	991
483	927	989
484	929	986
485	930	983
486	931	981
487	932	978
488	934	976
489	935	973
490	937	971
491	938	969
492	939	966
493	941	964
494	942	961
495	944	959
496	945	956
497	946	954
498	947	951
499	949	949
500	950	946
501	951	944
502	953	941
503	954	939
504	955	936
505	957	934
506	958	932
507	959	929
508	961	927
509	962	924
510	963	922
511	965	919
512	966	917
513	968	915
514	969	912
515	970	910
516	972	908
517	973	905
518	974	903
519	976	901
520	978	899
521	979	896
522	980	894
523	982	892
524	983	890
525	985	887
526	986	885
527	987	883
528	989	880
529	990	878
530	992	876
531	993	873
532	994	871
533	996	869
534	997	867
535	998	864
536	1000	862
537	1001	860
538	1002	857
539	1004	855
540	1005	853
541	1006	850
542	1008	848
543	1009	846
544	1010	843
545	1012	841
546	1013	839
547	1015	837
548	1016	835
549	1017	832
550	1019	830
551	1020	828
552	1021	825
553	1023	823
554	1024	821
555	1026	819
556	1027	817
557	1028	815
558	1030	812
559	1031	810
560	1032	808
561	1034	806
562	1035	803
563	1036	801
564	1038	799
565	1039	797
566	1040	794
567	1042	792
568	1043	790
569	1045	788
570	1046	786
571	1047	783
572	1049	781
573	1050	779
574	1051	777
575	1053	775
576	1055	773
577	1056	771
578	1058	769
579	1059	767
580	1060	765
581	1062	762
582	1063	760
583	1064	758
584	1066	756
585	1067	754
586	1068	751
587	1070	749
588	1071	747
589	1072	745
590	1074	743
591	1075	741
592	1076	738
593	1077	736
594	1079	734
595	1080	732
596	1081	730
597	1083	728
598	1084	726
599	1085	723
600	1087	721
601	1088	719
602	1090	717
603	1091	715
604	1092	713
605	1094	711
606	1095	709
607	1096	707
608	1098	705
609	1100	703
610	1102	701
611	1103	699
612	1105	697
613	1106	695
614	1108	693
615	1109	691
616	1111	689
617	1112	687
618	1114	685
619	1115	683
620	1117	681
621	1119	680
622	1120	678
623	1122	676
624	1123	674
625	1125	672
626	1126	669
627	1127	667
628	1129	666
629	1130	664
630	1132	662
631	1133	660
632	1135	658
633	1136	656
634	1138	654
635	1139	652
636	1141	650
637	1142	648
638	1144	646
639	1145	644
640	1147	642
641	1150	641
642	1152	639
643	1153	637
644	1155	636
645	1157	634
646	1158	632
647	1159	630
648	1161	628
649	1163	626
650	1164	624
651	1166	622
652	1167	620
653	1169	618
654	1171	617
655	1173	615
656	1176	614
657	1180	613
658	1182	611
659	1183	609
660	1185	607
661	1186	605
662	1188	603
663	1189	602
664	1191	600
665	1193	598
666	1194	596
667	1196	594
668	1197	592
669	1199	590
670	1201	589
671	1203	587
672	1205	585
673	1207	583
674	1211	583
675	1213	581
676	1215	579
677	1217	578
678	1219	576
679	1224	576
680	1229	575
681	1231	574
682	1232	572
683	1234	570
684	1235	568
685	1238	566
686	1240	565
687	1242	563
688	1244	561
689	1246	559
690	1247	557
691	1249	556
692	1250	554
693	1252	552
694	1254	550
695	1256	548
696	1258	546
697	1260	545
698	1261	543
699	1263	541
700	1264	539
701	1266	537
702	1268	535
703	1269	533
704	1271	531
705	1272	529
706	1273	527
707	1274	525
708	1276	523
709	1277	521
710	1278	519
711	1279	517
712	1281	515
713	1282	513
714	1284	512
715	1286	510
716	1288	508
717	1289	506
718	1290	504
719	1292	502
720	1293	500
721	1294	498
722	1296	496
723	1297	494
724	1299	492
725	1300	490
726	1301	488
727	1303	486
728	1304	484
729	1305	483
730	1307	481
731	1308	479
732	1309	477
733	1311	475
734	1312	473
735	1313	471
736	1314	469
737	1316	467
738	1317	465
739	1318	463
740	1320	461
741	1322	459
742	1323	457
743	1325	456
744	1326	454
745	1328	452
746	1329	450
747	1330	448
748	1332	446
749	1333	444
750	1334	442
751	1335	440
752	1337	438
753	1338	436
754	1339	434
755	1341	432
756	1342	430
757	1343	429
758	1345	427
759	1346	425
760	1347	423
761	1349	421
762	1350	419
763	1351	417
764	1353	415
765	1354	413
766	1356	411
767	1357	410
768	1358	408
769	1360	406
770	1361	404
771	1362	402
772	1363	400
773	1365	398
774	1366	396
775	1367	394
776	1369	393
777	1370	391
778	1372	389
779	1373	387
780	1374	385
781	1376	383
782	1377	381
783	1378	379
784	1380	377
785	1381	376
786	1382	374
787	1385	372
788	1386	370
789	1387	368
790	1389	367
791	1390	365
792	1391	363
793	1393	361
794	1394	359
795	1395	357
796	1397	355
797	1398	354
798	1400	352
799	1401	350
800	1402	348
801	1404	346
802	1405	344
803	1406	342
804	1408	341
805	1409	339
806	1411	337
807	1412	335
808	1413	333
809	1415	331
810	1416	330
811	1417	328
812	1419	326
813	1420	324
814	1422	322
815	1423	321
816	1425	319
817	1426	317
818	1427	315
819	1428	313
820	1430	311
821	1431	309
822	1432	308
823	1434	306
824	1435	304
825	1436	302
826	1438	300
827	1439	299
828	1440	297
829	1442	295
830	1443	293
831	1445	291
832	1446	290
833	1448	288
834	1449	286
835	1450	284
836	1452	282
837	1453	281
838	1455	279
839	1456	277
840	1457	275
841	1459	273
